maximum,mean,minimum,stdev
0.863,0.06510500000000076,-2.9955,0.5731252048854598
0.863,0.30274500000000054,-2.373,0.40719028595363144
0.863,0.43412000000000084,-2.373,0.31505144199003426
0.8845,0.5332975000000011,-0.8705,0.18311214663082834
0.8845,0.5783055000000004,-0.8515,0.11372050131682498
0.889,0.5980254999999974,-0.22,0.08707220337024897
0.889,0.6060964999999991,0.3145,0.07572161473284879
0.891,0.6185319999999974,0.3155,0.07742918361961466
0.891,0.6192884999999996,0.341,0.08333246676866089
0.8915,0.6292360000000001,0.4225,0.08800921715365949
0.8915,0.632483499999999,0.2235,0.09918276048663896
0.8945,0.6429574999999996,0.2685,0.10780617766969564
0.8965,0.6510880000000001,0.43,0.11575555388835569
0.8965,0.6680034999999994,0.4115,0.12011740189393855
0.897,0.6779420000000006,0.4,0.1305044391428888
0.897,0.6920054999999993,0.3535,0.14288157410859542
0.8985,0.7016319999999988,0.348,0.15154184265739934
0.8985,0.7137824999999982,0.24,0.15190019895888887
0.9005,0.7223309999999994,0.396,0.1535158589169209
0.9005,0.7267694999999996,0.331,0.15606092118064047
0.9005,0.7263514999999994,0.3275,0.16092976790435629
0.9005,0.7373299999999992,0.33,0.15828687121805138
0.9005,0.7417524999999994,0.3235,0.15968165359160716
0.9375,0.7385175000000004,0.323,0.16136459166666642
0.9375,0.7340889999999994,0.318,0.16050509518080722
0.9375,0.7288324999999998,0.337,0.16337556333108727
0.9375,0.7295484999999994,0.328,0.1662856590261168
0.9375,0.7354435000000011,0.378,0.16450282537923183
0.9375,0.7302820000000005,0.2805,0.1655075737723201
0.9435,0.7370079999999998,0.382,0.16357226976477382
0.9435,0.7266510000000003,0.3585,0.16436891189942218
0.9435,0.7355114999999998,0.2805,0.16257380360239485
0.9435,0.7432910000000015,0.2685,0.16398487832419165
0.9435,0.7389894999999996,0.339,0.16449904601471083
0.9435,0.7458880000000006,0.346,0.16423150719639637
0.9435,0.7406120000000007,0.3345,0.16496474306954184
0.9435,0.7410835000000027,0.326,0.16265131040895411
0.9435,0.7381760000000009,0.35,0.16336897968708738
0.9435,0.7367525,0.3875,0.16243808049146
0.9435,0.7401445000000013,0.3625,0.16317748426100329
0.9435,0.749878,0.362,0.15979027697579087
0.9435,0.7484185000000008,0.3355,0.1623830921239957
0.945,0.7501460000000011,0.333,0.16532994037378707
0.945,0.7559585000000005,0.31,0.16754806632053384
0.945,0.7602539999999994,0.2345,0.16791207664727403
0.9475,0.7695100000000006,0.3935,0.16419264873921735
0.9475,0.7740794999999998,0.275,0.16958536177910513
0.9475,0.7797110000000008,0.258,0.16600484926350806
0.9475,0.7881044999999998,0.384,0.16499008706510226
0.9475,0.7930980000000012,0.3955,0.1687324521128049
0.9475,0.7922535000000008,0.401,0.17014838079673283
0.9475,0.789501500000001,0.2495,0.17650170041036434
0.9475,0.7914335000000007,0.363,0.17220367541881906
0.9475,0.7899490000000006,0.165,0.17353526557734597
0.9475,0.7852815000000009,0.3405,0.17846575443975238
0.9475,0.7840345000000004,0.165,0.1785469169707224
0.9475,0.7890470000000003,0.2975,0.17441301353683455
0.9475,0.7870550000000001,0.2245,0.17581072770169623
0.9475,0.7825869999999999,0.2645,0.17524417231679917
0.9475,0.7797304999999993,0.4245,0.17703083945954157
0.9475,0.7691605000000001,0.3995,0.18205531574153497
0.9475,0.7715914999999991,0.341,0.18273482940520677
0.9475,0.7728800000000006,0.3095,0.18299052051950676
0.9475,0.7727030000000015,0.2925,0.18338892903062617
0.9485,0.7782565000000006,0.438,0.18278555593303872
0.9485,0.773031000000002,0.3475,0.1829048729230581
0.9485,0.7735935000000003,0.3665,0.17966065097218706
0.9485,0.7803644999999998,0.4435,0.17469912532623053
0.9485,0.7813639999999998,0.413,0.1757794797580194
0.9485,0.7812960000000004,0.3875,0.17960236324725795
0.95,0.7810705000000007,0.2335,0.18141500566312027
0.95,0.7737180000000002,0.2365,0.18280600776779732
0.9505,0.7662115000000019,0.2365,0.1859174521602262
0.9505,0.7648350000000007,0.21,0.18347609183487643
0.9505,0.7761789999999994,0.3665,0.17897303137344486
0.9505,0.7754275000000007,0.2795,0.18238585332681367
0.9505,0.7769334999999996,0.393,0.17722036939288316
0.9505,0.7709659999999994,0.422,0.18296941231801572
0.9505,0.7705990000000003,0.2945,0.18334790072155172
0.9505,0.7756925000000002,0.4025,0.1805720194098465
0.9505,0.7806914999999993,0.391,0.18227916386068374
0.9505,0.7772259999999994,0.386,0.17925361620899044
0.9505,0.7784304999999996,0.3805,0.17776784838589366
0.951,0.7831330000000001,0.2135,0.17333451852126863
0.951,0.7780585000000009,0.359,0.1791732731959485
0.951,0.7922735,0.371,0.17057292413437128
0.951,0.7840165000000008,0.4195,0.1748268800206366
0.951,0.7810264999999997,0.3755,0.17613081231786223
0.951,0.7804824999999991,0.3995,0.17824713305899212
0.951,0.7736114999999998,0.296,0.18116594966425098
0.951,0.7761159999999988,0.232,0.18111786782093037
0.951,0.7709910000000004,0.2315,0.18263940270106008
0.951,0.7728165000000017,0.253,0.18252994570138348
0.951,0.7777090000000018,0.249,0.18163816316787632
0.951,0.773716000000001,0.3785,0.17965658308005303
0.951,0.7633985000000009,0.36,0.1841464375103412
0.951,0.7782600000000012,0.3445,0.18053971280579803
0.951,0.7755105000000014,0.256,0.18289593254020178
0.951,0.7739984999999999,0.354,0.18373734581665746
0.951,0.7843390000000011,0.4,0.1789363520333417
0.951,0.7819805000000009,0.3445,0.18050924732475643
0.951,0.7732320000000008,0.343,0.18128327191442678
0.951,0.7776440000000006,0.3035,0.18151692555792145
0.951,0.7690770000000005,0.3055,0.1810571085900799
0.951,0.7779065000000003,0.331,0.17826844927734672
0.951,0.7883920000000002,0.4055,0.17230355723547905
0.951,0.7788109999999995,0.3915,0.1761931008269053
0.9515,0.7763290000000015,0.433,0.1799978409842741
0.9515,0.7773220000000007,0.4235,0.17929677023304114
0.9515,0.779621500000001,0.354,0.1818022166744673
0.9515,0.7733020000000009,0.281,0.18056327781694695
0.9515,0.7718404999999999,0.342,0.1778773068993062
0.9515,0.7706935000000006,0.341,0.181152373177251
0.9515,0.7736765000000009,0.363,0.17870777710483118
0.9515,0.7826900000000004,0.338,0.17748797255025492
0.9515,0.7793704999999999,0.3005,0.17821569089098183
0.9515,0.7790220000000007,0.1,0.17558284801198545
0.956,0.7811909999999994,0.0995,0.17747263878975822
0.956,0.782274999999999,0.0895,0.1768197185695079
0.956,0.7774064999999986,0.0615,0.18014437545410641
0.956,0.7741839999999987,0.0685,0.17947764246278686
0.9605,0.7662285000000003,0.2035,0.18230852705715644
0.961,0.761998,0.3355,0.1846004712778385
0.961,0.769501500000001,0.3525,0.1803885535386045
0.961,0.7674544999999999,0.3315,0.181365563654598
0.961,0.7783105000000008,0.3975,0.17494029792975077
0.966,0.7773880000000022,0.363,0.17472906442833172
0.966,0.779284,0.3295,0.17205171996815383
0.9685,0.7867099999999996,0.288,0.1755163137716835
0.9685,0.7870805000000001,0.2575,0.17932014602311147
0.9685,0.7788990000000007,0.3075,0.18549650212065982
0.9685,0.7838239999999992,0.303,0.18333703396749926
0.9685,0.7917055000000008,0.426,0.18082422409552873
0.9705,0.785375,0.3935,0.18305155660359754
0.9705,0.7851320000000002,0.3495,0.18216517113872258
0.9705,0.7945925000000001,0.3665,0.17508328644890706
0.9705,0.8076349999999998,0.4205,0.17208118948624224
0.9705,0.8060024999999993,0.2845,0.17702352172451555
0.9705,0.801955000000001,0.2775,0.18405863189483945
0.9705,0.8121424999999998,0.3915,0.17737863722486413
0.9705,0.8135325000000008,0.3875,0.17859437615375803
0.9715,0.8094045000000012,0.389,0.17977591921542233
0.9715,0.8160380000000012,0.4,0.1793656950367043
0.9715,0.8120650000000008,0.4355,0.18212800519140374
0.9715,0.814842,0.4375,0.17748523188141593
0.9715,0.8053900000000002,0.1535,0.18355480217090483
0.9715,0.8075014999999994,0.152,0.18427455127540007
0.9715,0.810217000000002,0.152,0.18228064464171734
0.9715,0.8201010000000021,0.2295,0.1767714875170767
0.9745,0.8214260000000004,0.3375,0.17845875300472094
0.9745,0.8029989999999996,0.38,0.18571097705574643
0.9745,0.8053285000000016,0.357,0.18482889475877418
0.9745,0.8037349999999996,0.3655,0.18040828771151288
0.9745,0.8035699999999995,0.3215,0.1808177206470648
0.9745,0.8051544999999996,0.301,0.18238395181525693
0.9745,0.8124160000000002,0.327,0.177410597045385
0.9745,0.8213670000000018,0.1615,0.17925615557352542
0.9745,0.8114680000000015,0.1435,0.19071152554578344
0.9745,0.8035055000000014,0.3695,0.1864039369749201
0.9745,0.8084584999999999,0.4115,0.18011298822614102
0.9745,0.7991174999999999,0.3905,0.18497978928453243
0.975,0.8052399999999996,0.3025,0.18293158666561657
0.975,0.8093940000000008,0.304,0.18223771224420038
0.975,0.811307499999999,0.3785,0.18039421607620906
0.975,0.8100895000000002,0.31,0.18202279318741915
0.975,0.8110199999999997,0.272,0.18472592021695267
0.975,0.8177075000000005,0.397,0.1783402553933072
0.975,0.8152375000000002,0.285,0.18210305967706852
0.9755,0.8139740000000011,0.377,0.18087193763544404
0.9755,0.8172970000000002,0.3575,0.17834404893631856
0.9755,0.8126105,0.354,0.18136396014575218
0.976,0.8105785000000002,0.397,0.18169993144674004
0.976,0.8068210000000012,0.4005,0.18544143808491134
0.976,0.8091989999999997,0.3225,0.18498774526708509
0.977,0.8052775000000004,0.319,0.18835019708975617
0.977,0.8203585000000007,0.3755,0.1824455911436339
0.977,0.804182000000001,0.323,0.189242035171893
0.977,0.8075569999999999,0.334,0.19017188212509228
0.977,0.8102460000000007,0.3745,0.1918292404301284
0.977,0.8061390000000014,0.3815,0.18860954689251555
0.977,0.8184625000000008,0.3795,0.18042006912688496
0.978,0.8292544999999991,0.2805,0.1736846999011427
0.978,0.820012499999999,0.295,0.18083688255925556
0.978,0.8206634999999989,0.284,0.18035124623287185
0.978,0.8145809999999991,0.4075,0.18026406446932228
0.9785,0.8171310000000005,0.32,0.17806624143559616
0.9785,0.8163844999999991,0.234,0.18197365443863026
0.9785,0.8115205000000005,0.4365,0.18667310955183114
0.9785,0.8182959999999997,0.387,0.18612226192478964
0.9785,0.8142015000000006,0.2645,0.18836174810122674
0.98,0.8194725,0.2465,0.1820938782434764
0.98,0.8301574999999999,0.4055,0.1758000752097393
0.98,0.8316614999999996,0.4075,0.17690569427734645
0.98,0.8257639999999996,0.38,0.17997707021729178
0.98,0.8145329999999991,0.3375,0.1844834583668682
0.98,0.8081945000000011,0.359,0.18793871320127217
0.98,0.8163765000000004,0.4245,0.18522071022904008
0.98,0.8227549999999999,0.3475,0.18155531794745097
0.98,0.8179070000000008,0.4235,0.1784472214717842
0.98,0.8152810000000003,0.3915,0.18390648313477156
0.98,0.8138450000000004,0.4085,0.1852373652236502
0.98,0.8164714999999988,0.3355,0.1791644759369166
0.98,0.8194595,0.3505,0.17778775438637495
